team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Golden State Warriors,GSW,Klay Thompson,0,0,0,0,959.0848715941517
Golden State Warriors,GSW,Andrew Wiggins,71,18,4,2,797.4392060806546
Golden State Warriors,GSW,Draymond Green,63,7,7,8,606.7198303073154
Golden State Warriors,GSW,James Wiseman,39,11,5,0,231.4790030554784
Golden State Warriors,GSW,Kevon Looney,61,4,5,2,130.76871796166765
Memphis Grizzlies,MEM,Steven Adams,58,7,8,1,1158.1312576312575
Memphis Grizzlies,MEM,Justise Winslow,26,6,4,1,1146.5499253832588
Memphis Grizzlies,MEM,Dillon Brooks,67,17,2,2,827.5674942341609
Memphis Grizzlies,MEM,Kyle Anderson,69,12,5,3,674.0706824040158
Memphis Grizzlies,MEM,Ja Morant,63,19,4,7,651.4285714285714
Memphis Grizzlies,MEM,Jaren Jackson Jr.,11,14,5,1,622.7486094152761
Memphis Grizzlies,MEM,De'Anthony Melton,52,9,3,2,572.3443223443223
Memphis Grizzlies,MEM,Tyus Jones,70,6,2,3,510.2564102564103
Memphis Grizzlies,MEM,Jarrett Culver,34,5,3,0,433.8054538054538
Memphis Grizzlies,MEM,Kris Dunn,4,1,1,0,339.52991452991455
Memphis Grizzlies,MEM,Rajon Rondo,45,5,2,4,179.19488536155202
Memphis Grizzlies,MEM,Brandon Clarke,59,10,5,1,184.97354497354496
Washington Wizards,WAS,Bradley Beal,60,31,4,4,894.3241141553696
Washington Wizards,WAS,Spencer Dinwiddie,3,6,4,3,444.3572150651909
Washington Wizards,WAS,Davis Bertans,57,11,2,0,414.73340418362324
Washington Wizards,WAS,Kentavious Caldwell-Pope,67,9,2,1,337.97822649628034
Washington Wizards,WAS,Kyle Kuzma,68,12,6,1,336.9708908991939
Washington Wizards,WAS,Montrezl Harrell,69,13,6,1,251.97387179553644
Washington Wizards,WAS,Thomas Bryant,10,14,6,1,226.2930350708935
Washington Wizards,WAS,Rui Hachimura,57,13,5,1,127.43098576946007
Washington Wizards,WAS,Deni Avdija,54,6,4,1,121.64234428056714
Washington Wizards,WAS,Aaron Holiday,66,7,1,1,103.17921667228285
Indiana Pacers,IND,Malcolm Brogdon,56,21,5,5,595.3034127071217
