Player,Salary
Omer Yurtseven,"$1,489,065"
Cassius Stanley,"$1,489,065"
Nate Hinton,"$1,489,065"
Cameron Oliver,"$1,489,065"
Sean McDermott,"$1,489,065"
Jemerrio Jones,"$1,489,065"
Devin Cannady,"$1,489,065"
Emanuel Terry,"$1,489,065"
JR Smith,"$1,456,667"
JT Thor,"$1,250,000"
DeMarre Carroll,"$1,242,340"
Zhaire Smith,"$1,068,200"
Jason Preston,"$1,062,303"
Isaiah Livers,"$1,057,260"
Guerschon Yabusele,"$1,039,080"
Kyle Singler,"$999,200"
BJ Boston,"$925,258"
Georgios Kalaitzakis,"$925,258"
Miles McBride,"$925,258"
Charles Bassey,"$925,258"
Jock Landale,"$925,258"
Ishmail Wainright,"$925,258"
Jared Butler,"$925,258"
Johnny Hamilton,"$925,258"
Ibi Watson,"$925,258"
Jordan Bowden,"$925,258"
David Duke,"$925,258"
Brandon Rachal,"$925,258"
Jalen Crutcher,"$925,258"
Cameron McGriff,"$925,258"
Bryce Alford,"$925,258"
Ayo Dosunmu,"$925,258"
Marko Simonovic,"$925,258"
Feron Hunt,"$925,258"
Carlik Jones,"$925,258"
Giorgi Bezhanishvili,"$925,258"
Luka Garza,"$925,258"
Jamorko Pickett,"$925,258"
Daishen Nix,"$925,258"
Keifer Sykes,"$925,258"
Terry Taylor,"$925,258"
Moses Wright,"$925,258"
Chaundee Brown,"$925,258"
Trevelin Queen,"$925,258"
Romeo Weems,"$925,258"
Micah Potter,"$925,258"
Ja'Vonte Smart,"$925,258"
Dru Smith,"$925,258"
Javin DeLaurier,"$925,258"
Matt Lewis,"$925,258"
Isaiah Miller,"$925,258"
John Petty Jr,"$925,258"
Myles Powell,"$925,258"
Jeff Dowtin,"$925,258"
Hassani Gravett,"$925,258"
Greg Brown,"$925,258"
Damien Jefferson,"$925,258"
Denzel Mahoney,"$925,258"
Dalano Banton,"$925,258"
Josh Hall,"$925,258"
Derrick Alston,"$925,258"
MaCio Teague,"$925,258"
Jaime Echenique,"$925,258"
Jordan Goodwin,"$925,258"
Jay Huff,"$925,258"
Jordan Schakel,"$925,258"
Shaun Livingston,"$666,666"
Sharife Cooper,"$462,629"
Skylar Mays,"$462,629"
Sam Hauser,"$462,629"
Kessler Edwards,"$462,629"
Arnoldas Kulboka,"$462,629"
Scottie Lewis,"$462,629"
Devon Dotson,"$462,629"
JaQuori McLaughlin,"$462,629"
Eugene Omoruyi,"$462,629"
Petr Cornelie,"$462,629"
Markus Howard,"$462,629"
Sean Chris Smith,"$462,629"
Chris Chiozza,"$462,629"
Tyler Bey,"$462,629"
Matthew Hurt,"$462,629"
Anthony Lamb,"$462,629"
DeJon Jarreau,"$462,629"
Duane Washington Jr,"$462,629"
Jay Scrubb,"$462,629"
Joel Ayayi,"$462,629"
Austin Reaves,"$462,629"
Yves Pons,"$462,629"
Killian Tillie,"$462,629"
Marcus Garrett,"$462,629"
Caleb Martin,"$462,629"
Sandro Mamukelashvili,"$462,629"
Justin Robinson,"$462,629"
Nathan Knight,"$462,629"
McKinley Wright,"$462,629"
Jose Alvarado,"$462,629"
Daulton Hommes,"$462,629"
Jericho Sims,"$462,629"
Paul Watson,"$462,629"
Aaron Wiggins,"$462,629"
Ignas Brazdeikis,"$462,629"
Aaron Henry,"$462,629"
Grant Riller,"$462,629"
Keljin Blevins,"$462,629"
Trendon Watford,"$462,629"
Louis King,"$462,629"
Neemias Queta,"$462,629"
Joe Wieskamp,"$462,629"
Justin Champagnie,"$462,629"
David Johnson,"$462,629"
Trent Forrest,"$462,629"
Cassius Winston,"$462,629"
Dakari Johnson,"$459,414"
Jontay Porter,"$300,000"
Troy Williams,"$122,741"
Mamadi Diakite,"$100,000"
