"","Rk","Player","Tm","2021-22","2022-23","2023-24","2024-25","2025-26","2026-27","Signed Using","Guaranteed\"
"85","85","Norman Powell\\powelno01","POR",15517242,16758621,18000000,19241379,20482758,NA,"Bird","$90000000\"
"86","86","Dejounte Murray\\murrade01","SAS",15428571,16571429,17714286,NA,NA,NA,"1st Round pick","$49714286\"
"87","87","Will Barton\\bartowi01","DEN",30264615,16615385,NA,NA,NA,NA,"Bird","$32000000\"
"88","88","Derrick White\\whitede01","SAS",15178571,16392857,17607143,18821429,NA,NA,"Bird","$68000000\"
"89","89","Taurean Prince\\princta02","CLE",15057692,NA,NA,NA,NA,NA,"1st Round pick","$15057692\"
"90","90","Andre Iguodala\\iguodan01","MIA",17641691,NA,NA,NA,NA,NA,NA,"\"
"91","91","Will Barton\\bartowi01","DEN",30264615,16615385,NA,NA,NA,NA,"Bird Rights","$32000000\"
"92","92","Malik Beasley\\beaslma01","MIN",14391964,15458035,16524106,NA,NA,NA,"Bird","$29849999\"
"93","93","Marcus Smart\\smartma01","BOS",14339285,16607142,18583713,19960285,21336856,NA,"Bird Rights","$90827281\"
"94","94","Patrick Beverley\\beverpa01","MIN",14320988,NA,NA,NA,NA,NA,"Bird Rights","$14320988\"
"95","95","Thaddeus Young\\youngth01","SAS",14190000,NA,NA,NA,NA,NA,"Cap space","$14190000\"
"96","96","Joe Ingles\\inglejo01","UTA",14000000,NA,NA,NA,NA,NA,"Bird Rights","$14000000\"
"97","97","Jonas Valan\\valanjo01","NOP",14000000,NA,NA,NA,NA,NA,"Bird Rights","$14000000\"
"98","98","Doug McDermott\\mcderdo01","SAS",13750000,13750000,13750000,NA,NA,NA,"Sign and Trade","$41250000\"
"99","99","Christian Wood\\woodch01","HOU",13666667,14317459,NA,NA,NA,NA,"Sign and Trade","$27984126\"
"100","100","Derrick Rose\\rosede01","NYK",13445120,14520730,15596339,NA,NA,NA,"Early Bird","$27965850\"
"101","101","Brook Lopez\\lopezbr01","MIL",13302325,13906976,NA,NA,NA,NA,"Cap Space","$27209301\"
"102","102","Kentavious Caldwell-Pope\\caldwke01","WAS",13038862,14004703,NA,NA,NA,NA,"Early Bird","$17926980\"
"103","103","Kyle Kuzma\\kuzmaky01","WAS",13000000,13000000,13000000,NA,NA,NA,"Bird","$26000000\"
"104","104","Justise Winslow\\winslju01","MEM",16902439,4097561,NA,NA,NA,NA,NA,"\"
"105","105","Robert Covington\\covinro01","POR",12975471,NA,NA,NA,NA,NA,"Cap Space","$12975471\"
"106","106","Luke Kennard\\kennalu01","LAC",12727273,13745455,14763636,14763636,NA,NA,"Bird","$41236364\"
"107","107","T.J. Warren\\warretj01","IND",12690000,NA,NA,NA,NA,NA,"1st Round Pick","$12690000\"
"108","108","Deandre Ayton\\aytonde01","PHO",12632950,NA,NA,NA,NA,NA,"1st Round Pick","$12632950\"
"109","109","Terrence Ross\\rosste01","ORL",12500000,11500000,NA,NA,NA,NA,"Bird Rights","$24000000\"
"110","110","Jordan Clarkson\\clarkjo01","UTA",12420000,13340000,14260000,NA,NA,NA,"Bird","$25760000\"
"111","111","Dillon Brooks\\brookdi01","MEM",12200000,11400000,NA,NA,NA,NA,"MLE","$23600000\"
"112","112","Kelly Olynyk\\olynyke01","DET",12195122,12804878,12195122,NA,NA,NA,"Cap Space","$28000000\"
"113","113","Kelly Oubre Jr.\\oubreke01","CHO",12000000,12600000,NA,NA,NA,NA,"Cap Space","$17000000\"
"114","114","Josh Hart\\hartjo01","NOP",12000000,12960000,12960000,NA,NA,NA,"Bird","$12000000\"
"115","115","Jusuf Nurki\\nurkiju01","POR",12000000,NA,NA,NA,NA,NA,"Bird Rights","$4000000\"
"116","116","Josh Richardson\\richajo01","BOS",11600000,12384672,NA,NA,NA,NA,"Minimum Salary","$23984672\"
"117","117","Marvin Bagley III\\baglema01","SAC",11312114,NA,NA,NA,NA,NA,"1st Round Pick","$11312114\"
"118","118","Devonte' Graham\\grahade01","NOP",11000000,11550000,12100000,12650000,NA,NA,"Sign and Trade","$37500000\"
"119","119","Dwight Powell\\poweldw01","DAL",11000000,11814815,NA,NA,NA,NA,"Cap Space","$22814815\"
"120","120","Zion Williamson\\willizi01","NOP",10733400,13534817,NA,NA,NA,NA,"1st Round Pick","$10733400\"
"121","121","Larry Nance Jr.\\nancela02","POR",10690909,9672727,NA,NA,NA,NA,"1st Round pick","$20363636\"
"122","122","Jeremy Lamb\\lambje01","IND",10500000,NA,NA,NA,NA,NA,"Cap Space","$10500000\"
"123","123","Richaun Holmes\\holmeri01","SAC",10384500,11215260,12046020,12876780,NA,NA,"Early Bird","$33645780\"
"124","124","Reggie Jackson\\jacksre01","LAC",10384500,11215260,NA,NA,NA,NA,"Early Bird","$21599760\"
"125","125","Anthony Edwards\\edwaran01","MIN",10245480,10733400,13534817,NA,NA,NA,"1st Round Pick","$10245480\"
"126","126","Al-Farouq Aminu\\aminual01","SAS",10183800,NA,NA,NA,NA,NA,"MLE","$10183800\"
"127","127","Luka Don\\doncilu01","DAL",10174391,35700000,38556000,41412000,44268000,47124000,"1st Round Pick","$217234391\"
