team,abbreviations,Player,games,points,rebounds,assists,salaryProportion
Washington Wizards,WAS,Montrezl Harrell,387,12,5,1,251.97387179553644
Washington Wizards,WAS,Thomas Bryant,143,10,6,1,226.2930350708935
Washington Wizards,WAS,Rui Hachimura,105,13,5,1,127.43098576946007
Washington Wizards,WAS,Deni Avdija,54,6,4,1,121.64234428056714
Washington Wizards,WAS,Aaron Holiday,182,7,1,2,103.17921667228285
Indiana Pacers,IND,Malcolm Brogdon,297,15,4,4,595.3034127071217
Indiana Pacers,IND,Domantas Sabonis,353,13,8,3,509.23131789750903
Indiana Pacers,IND,Myles Turner,389,12,6,1,493.80006584000876
Indiana Pacers,IND,Caris LeVert,260,14,3,3,480.083397344453
Indiana Pacers,IND,T.J. Warren,332,15,4,1,348.1290464172062
Indiana Pacers,IND,Jeremy Lamb,517,10,3,1,288.0500384066718
Indiana Pacers,IND,T.J. McConnell,454,6,3,5,205.75002743333698
Indiana Pacers,IND,Justin Holiday,502,8,3,1,164.77614397015253
Indiana Pacers,IND,Torrey Craig,222,5,3,0,133.82116207615493
Indiana Pacers,IND,Goga Bitadze,99,4,2,0,84.99945133326018
Charlotte Hornets,CHO,Gordon Hayward,685,15,4,3,892.1378487244517
Charlotte Hornets,CHO,Terry Rozier,404,11,3,2,534.2462479486798
Charlotte Hornets,CHO,Kelly Oubre Jr.,403,11,4,1,358.0486349395793
Charlotte Hornets,CHO,Nicolas Batum,856,11,5,3,364.41912576458304
Charlotte Hornets,CHO,LaMelo Ball,51,15,5,6,245.6142025958526
Charlotte Hornets,CHO,Mason Plumlee,588,8,6,2,242.8017305684022
Charlotte Hornets,CHO,Miles Bridges,211,10,5,1,161.7631806653737
Charlotte Hornets,CHO,Ish Smith,654,7,2,3,134.26823810234222
Charlotte Hornets,CHO,P.J. Washington,122,12,6,2,125.76816350887663
San Antonio Spurs,SAS,Dejounte Murray,252,10,5,3,595.8357534563992
San Antonio Spurs,SAS,Derrick White,188,10,3,3,586.1810071831312
San Antonio Spurs,SAS,Thaddeus Young,1033,13,5,1,548.0033984706882
San Antonio Spurs,SAS,Doug McDermott,476,9,2,0,531.0110450297366
San Antonio Spurs,SAS,Al-Farouq Aminu,711,7,6,1,393.2880203908241
San Antonio Spurs,SAS,Jakob Poeltl,348,6,5,1,337.9161195643778
San Antonio Spurs,SAS,Zach Collins,154,5,4,0,269.71989650111993
San Antonio Spurs,SAS,Bryn Forbes,331,9,1,1,173.7854329188229
San Antonio Spurs,SAS,Lonnie Walker,138,8,2,1,171.77322931953347
San Antonio Spurs,SAS,Devin Vassell,62,5,2,0,163.55758090677378
San Antonio Spurs,SAS,Chandler Hutchison,97,5,3,0,NA
Chicago Bulls,CHI,DeMar DeRozan,881,20,4,3,1887.661909758657
Chicago Bulls,CHI,Nikola Vu,668,16,10,2,1678.9087093389296
Chicago Bulls,CHI,Lonzo Ball,217,11,5,6,1382.8221056313396
Chicago Bulls,CHI,Zach LaVine,411,19,3,3,1364.1133263378804
Chicago Bulls,CHI,Derrick Jones Jr.,229,6,3,0,680.7769849597762
Chicago Bulls,CHI,Alex Caruso,184,5,2,2,601.9343126967472
Chicago Bulls,CHI,Patrick Williams,71,9,4,1,519.202518363064
Chicago Bulls,CHI,Coby White,134,14,3,3,408.37775445960125
Chicago Bulls,CHI,Troy Brown Jr.,155,7,4,1,361.7043721580972
Chicago Bulls,CHI,Ryan Arcidiacono,207,4,2,2,335.0301504022385
New Orleans Pelicans,NOP,Brandon Ingram,313,17,5,3,995.7692697597405
New Orleans Pelicans,NOP,Jonas Valan,621,12,9,1,473.0848511472308
New Orleans Pelicans,NOP,Josh Hart,242,8,5,1,405.5013009833406
New Orleans Pelicans,NOP,Devonte' Graham,164,13,2,5,371.7095259013956
New Orleans Pelicans,NOP,Zion Williamson,85,25,7,3,362.70063866454905
New Orleans Pelicans,NOP,TomSatoransk,333,7,3,4,337.91775081945053
New Orleans Pelicans,NOP,Jaxson Hayes,124,7,4,0,180.72787483526508
New Orleans Pelicans,NOP,Garrett Temple,632,6,2,1,165.9176156523502
New Orleans Pelicans,NOP,Kira Lewis Jr.,54,6,1,2,129.16027438921367
New Orleans Pelicans,NOP,Nickeil Alexander-Walker,93,8,2,2,110.21119859426216
Sacramento Kings,SAC,De'Aaron Fox,263,18,3,6,1425.5630516384294
Sacramento Kings,SAC,Buddy Hield,387,16,4,2,1140.1680531601908
Sacramento Kings,SAC,Harrison Barnes,670,13,5,1,1028.918078522877
Sacramento Kings,SAC,Marvin Bagley III,118,14,7,1,573.8112001623211
Sacramento Kings,SAC,Richaun Holmes,331,9,5,1,526.7576341686112
Sacramento Kings,SAC,Tristan Thompson,673,9,8,1,493.09627675763414
Sacramento Kings,SAC,Maurice Harkless,574,7,3,1,220.53363092218729
Sacramento Kings,SAC,Tyrese Haliburton,58,13,3,5,204.09861012478441
Sacramento Kings,SAC,Terence Davis,133,8,2,1,202.90149132596125
Sacramento Kings,SAC,Alex Len,531,7,6,0,189.29222887288222
Minnesota Timberwolves,MIN,Karl-Anthony Towns,408,22,11,3,1211.4824467269661
Minnesota Timberwolves,MIN,D'Angelo Russell,359,17,3,5,1150.2951096121417
Minnesota Timberwolves,MIN,Ricky Rubio,631,11,4,7,682.5664571516173
Minnesota Timberwolves,MIN,Malik Beasley,257,9,2,1,551.5853135060555
Minnesota Timberwolves,MIN,Patrick Beverley,468,8,4,3,548.8650927487353
Minnesota Timberwolves,MIN,Anthony Edwards,72,19,4,2,392.6674842863713
Minnesota Timberwolves,MIN,Jarred Vanderbilt,92,4,4,0,163.24003525984978
Minnesota Timberwolves,MIN,Josh Okogie,195,7,3,1,156.67269661198836
Minnesota Timberwolves,MIN,Jake Layman,209,5,1,0,151.0111911697072
Cleveland Cavaliers,CLE,Kevin Love,738,18,11,2,1010.2966334204835
Cleveland Cavaliers,CLE,Jarrett Allen,285,10,8,1,645.5569542622898
Cleveland Cavaliers,CLE,Lauri Markkanen,221,15,7,1,506.46877118233755
Cleveland Cavaliers,CLE,Taurean Prince,301,11,4,1,486.0298892869823
Cleveland Cavaliers,CLE,Cedi Osman,261,9,3,2,259.83667409057165
Cleveland Cavaliers,CLE,Darius Garland,113,14,2,4,227.26445240631355
Cleveland Cavaliers,CLE,Isaac Okoro,67,9,3,1,216.9303766824828
Cleveland Cavaliers,CLE,Collin Sexton,207,20,3,3,204.9537135663794
Oklahoma City Thunder,OKC,Kemba Walker,704,19,3,5,274.69616389212325
Oklahoma City Thunder,OKC,Derrick Favors,751,10,7,1,305.9099348585455
Oklahoma City Thunder,OKC,Shai Gilgeous-Alexander,187,16,4,3,172.9405544890959
Oklahoma City Thunder,OKC,Gabriel Deck,10,8,4,2,115.49233722503698
Oklahoma City Thunder,OKC,Mike Muscala,389,6,3,0,110.14255593668376
Oklahoma City Thunder,OKC,Aleksej Pokusevski,45,8,4,2,97.96897126852755
Orlando Magic,ORL,Gary Harris,407,11,2,2,664.0129352266096
Orlando Magic,ORL,Jonathan Isaac,136,9,5,1,564.0925889904688
Orlando Magic,ORL,Markelle Fultz,113,10,3,4,534.9153861116514
