team,abbreviations,zip,med_sal,Rk,Player,Salary,codes,links,games,points,rebounds,assists
Boston Celtics,BOS,02128,26569,40,Al Horford,27000000,horfoal01,https://www.basketball-reference.com/players/h/horfoal01.html,28,14,6,3
Boston Celtics,BOS,02128,26569,44,Jaylen Brown,24830357,brownja02,https://www.basketball-reference.com/players/b/brownja02.html,58,24,6,3
Boston Celtics,BOS,02128,26569,93,Marcus Smart,14339285,smartma01,https://www.basketball-reference.com/players/s/smartma01.html,48,13,3,5
Boston Celtics,BOS,02128,26569,116,Josh Richardson,11600000,richajo01,https://www.basketball-reference.com/players/r/richajo01.html,59,12,3,2
Boston Celtics,BOS,02128,26569,265,Romeo Langford,3804360,langfro01,https://www.basketball-reference.com/players/l/langfro01.html,18,3,1,0
Boston Celtics,BOS,02128,26569,272,Robert Williams,3661976,williro04,https://www.basketball-reference.com/players/w/williro04.html,52,8,6,1
Boston Celtics,BOS,02128,26569,273,Aaron Nesmith,3631200,nesmiaa01,https://www.basketball-reference.com/players/n/nesmiaa01.html,46,4,2,0
Utah Jazz,UTA,84120,21565,16,Rudy Gobert,35344828,goberru01,https://www.basketball-reference.com/players/g/goberru01.html,71,14,13,1
Utah Jazz,UTA,84120,21565,38,Donovan Mitchell,28103550,mitchdo01,https://www.basketball-reference.com/players/m/mitchdo01.html,53,26,4,5
Utah Jazz,UTA,84120,21565,51,Mike Conley,21000000,conlemi01,https://www.basketball-reference.com/players/c/conlemi01.html,51,16,3,6
Utah Jazz,UTA,84120,21565,62,Bojan Bogdanovi,18700000,bogdabo02,https://www.basketball-reference.com/players/b/bogdabo02.html,72,17,3,1
Utah Jazz,UTA,84120,21565,96,Joe Ingles,14000000,inglejo01,https://www.basketball-reference.com/players/i/inglejo01.html,67,12,3,4
Utah Jazz,UTA,84120,21565,110,Jordan Clarkson,12420000,clarkjo01,https://www.basketball-reference.com/players/c/clarkjo01.html,68,18,4,2
Utah Jazz,UTA,84120,21565,152,Royce O'Neale,8678571,onealro01,https://www.basketball-reference.com/players/o/onealro01.html,71,7,6,2
Utah Jazz,UTA,84120,21565,193,Rudy Gay,5890000,gayru01,https://www.basketball-reference.com/players/g/gayru01.html,63,11,4,1
Denver Nuggets,DEN,80219,20772,23,Jamal Murray,31590000,murraja01,https://www.basketball-reference.com/players/m/murraja01.html,48,21,4,4
Denver Nuggets,DEN,80219,20772,30,Nikola Joki,30510423,jokicni01,https://www.basketball-reference.com/players/j/jokicni01.html,72,26,10,8
Denver Nuggets,DEN,80219,20772,78,Aaron Gordon,16409091,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01.html,50,12,5,3
Denver Nuggets,DEN,80219,20772,87,Will Barton,30264615,bartowi01,https://www.basketball-reference.com/players/b/bartowi01.html,56,12,4,3
Denver Nuggets,DEN,80219,20772,91,Will Barton,30264615,bartowi01,https://www.basketball-reference.com/players/b/bartowi01.html,56,12,4,3
Denver Nuggets,DEN,80219,20772,158,Monte Morris,8333333,morrimo01,https://www.basketball-reference.com/players/m/morrimo01.html,47,10,2,3
Denver Nuggets,DEN,80219,20772,160,JaMychal Green,15852431,greenja01,https://www.basketball-reference.com/players/g/greenja01.html,58,8,4,0
Denver Nuggets,DEN,80219,20772,169,JaMychal Green,15852431,greenja01,https://www.basketball-reference.com/players/g/greenja01.html,58,8,4,0
Denver Nuggets,DEN,80219,20772,206,Michael Porter Jr.,5258735,portemi01,https://www.basketball-reference.com/players/p/portemi01.html,61,19,7,1
Denver Nuggets,DEN,80219,20772,234,Jeff Green,4500000,greenje02,https://www.basketball-reference.com/players/g/greenje02.html,68,11,3,1
Denver Nuggets,DEN,80219,20772,267,Facundo Campazzo,3804150,campafa01,https://www.basketball-reference.com/players/c/campafa01.html,65,6,2,3
Los Angeles Clippers,LAC,90011,12931,9,Paul George,39344970,georgpa01,https://www.basketball-reference.com/players/g/georgpa01.html,54,23,6,5
Los Angeles Clippers,LAC,90011,12931,10,Kawhi Leonard,39344900,leonaka01,https://www.basketball-reference.com/players/l/leonaka01.html,52,24,6,5
Los Angeles Clippers,LAC,90011,12931,66,Eric Bledsoe,18125000,bledser01,https://www.basketball-reference.com/players/b/bledser01.html,71,12,3,3
Los Angeles Clippers,LAC,90011,12931,83,Marcus Morris,15627907,morrima03,https://www.basketball-reference.com/players/m/morrima03.html,57,13,4,1
Los Angeles Clippers,LAC,90011,12931,106,Luke Kennard,12727273,kennalu01,https://www.basketball-reference.com/players/k/kennalu01.html,63,8,2,1
Los Angeles Clippers,LAC,90011,12931,124,Reggie Jackson,10384500,jacksre01,https://www.basketball-reference.com/players/j/jacksre01.html,67,10,2,3
